"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"HEAD","KEY-98KSC","-1968.504mil","-4133.858mil","890mil","5190mil","-1968.504mil","-4133.858mil","T","0.00",""
"ZB4","BOHR-3.0","885.826mil","3248.032mil","885.827mil","3248.031mil","885.826mil","3248.032mil","T","0.00",""
"ZB3","BOHR-3.0","3346.456mil","3937.008mil","3346.457mil","3937.007mil","3346.456mil","3937.008mil","T","0.00",""
"ZB2","BOHR-3.0","2834.646mil","393.7mil","2834.646mil","393.7mil","2834.646mil","393.7mil","T","0.00",""
"ZB1","BOHR-3.0","196.85mil","393.7mil","196.85mil","393.7mil","196.85mil","393.7mil","T","0.00",""
"U202","SO-16","1240.496mil","1909.504mil","1240mil","1910mil","1065.496mil","1799.504mil","T","90.00","M74HC4053"
"R260","0805_REFL","2874.992mil","2105.008mil","2875mil","2105mil","2874.992mil","2067.008mil","T","90.00","1K 1%"
"R259","0805_REFL","3079.992mil","1584.638mil","3080mil","1584.646mil","3117.992mil","1584.638mil","T","180.00","1K 1%"
"R258","0805_REFL","3000.008mil","2079.992mil","3000mil","2080mil","3000.008mil","2117.992mil","T","270.00","1K 1%"
"R257","0805_REFL","2839.992mil","1754.654mil","2840mil","1754.646mil","2839.992mil","1716.654mil","T","90.00","1K 1%"
"R256","0805_REFL","1669.992mil","2254.654mil","1670mil","2254.646mil","1669.992mil","2216.654mil","T","90.00","100R 1%"
"R255","0805_REFL","1759.992mil","2254.654mil","1760mil","2254.646mil","1759.992mil","2216.654mil","T","90.00","100R 1%"
"C214","0805_REFL","970.008mil","1904.638mil","970mil","1904.646mil","970.008mil","1942.638mil","T","270.00","100NF/50V"
"U200","SOL-28","1930.504mil","2629.512mil","1931mil","2629.016mil","2255.504mil","2819.512mil","T","270.00","Comment"
"C100","1206_REFL","2913.394mil","3208.654mil","2913.386mil","3208.661mil","2913.394mil","3267.154mil","T","270.00","10NF/500V"
"C101","1206_REFL","3277.566mil","2696.842mil","3277.559mil","2696.85mil","3277.566mil","2755.342mil","T","270.00","10NF/500V"
"C102","1206_REFL","3277.566mil","2903.536mil","3277.559mil","2903.543mil","3277.566mil","2962.036mil","T","270.00","10NF/500V"
"C103","1206_REFL","3020.008mil","1484.654mil","3020mil","1484.646mil","2961.508mil","1484.654mil","T","360.00","10NF/500V"
"C104","1206_REFL","3327.708mil","816.78mil","3327.716mil","816.772mil","3327.708mil","758.28mil","T","90.00","10NF/500V"
"C105","1206_REFL","3327.724mil","1023.456mil","3327.716mil","1023.465mil","3327.724mil","1081.956mil","T","270.00","10NF/500V"
"C106","1206_REFL","3297.236mil","3159.442mil","3297.244mil","3159.449mil","3355.736mil","3159.442mil","T","180.00","1NF/500V"
"C107","1206_REFL","3297.236mil","3061.016mil","3297.244mil","3061.024mil","3355.736mil","3061.016mil","T","180.00","1NF/500V"
"C108","1206_REFL","3435.032mil","2352.354mil","3435.039mil","2352.362mil","3493.532mil","2352.354mil","T","180.00","1NF/500V"
"C109","1206_REFL","3288.338mil","1279.362mil","3288.346mil","1279.37mil","3346.838mil","1279.362mil","T","180.00","1NF/500V"
"C110","1206_REFL","3429.992mil","1176.842mil","3430mil","1176.85mil","3488.492mil","1176.842mil","T","180.00","1NF/500V"
"C111","1206_REFL","3395.662mil","472.434mil","3395.669mil","472.441mil","3454.162mil","472.434mil","T","180.00","1NF/500V"
"C112","0805_REFL","935.048mil","1564.968mil","935.039mil","1564.961mil","897.048mil","1564.968mil","T","360.00","100NF/50V"
"C113","0805_REFL","1063mil","1624.008mil","1062.992mil","1624.016mil","1063mil","1662.008mil","T","270.00","100NF/50V"
"C114","0805_REFL","849.992mil","4016.842mil","850mil","4016.85mil","887.992mil","4016.842mil","T","180.00","100NF/50V"
"C115","0805_REFL","1210.008mil","699.991mil","1210mil","700mil","1210.008mil","737.991mil","T","270.00","100NF/50V"
"C201","0805_REFL","2260.008mil","1524.638mil","2260mil","1524.646mil","2260.008mil","1562.638mil","T","270.00","100NF/50V"
"C202","0805_REFL","2210.008mil","1994.654mil","2210mil","1994.646mil","2172.008mil","1994.654mil","T","360.00","100NF/50V"
"C207","0805_REFL","2210.008mil","1814.654mil","2210mil","1814.646mil","2172.008mil","1814.654mil","T","360.00","10NF/50V"
"C208","0805_REFL","2360.008mil","2184.654mil","2360mil","2184.646mil","2322.008mil","2184.654mil","T","360.00","10NF/50V"
"C212","0805_REFL","2090.008mil","3086.842mil","2090mil","3086.85mil","2090.008mil","3124.842mil","T","270.00","15PF/50V"
"C213","0805_REFL","1661.992mil","3217.842mil","1662mil","3217.85mil","1699.992mil","3217.842mil","T","180.00","15PF/50V"
"DS100","1206-D_REFL","3179.142mil","2696.842mil","3179.134mil","2696.85mil","3179.142mil","2755.342mil","T","270.00","BAS85"
"DS101","1206-D_REFL","3239.142mil","816.764mil","3239.134mil","816.772mil","3239.142mil","875.264mil","T","270.00","BAS85"
"DS102","1206-D_REFL","738.182mil","1476.37mil","738.189mil","1476.378mil","796.682mil","1476.37mil","T","180.00","BAS85"
"DS103","1206-D_REFL","708.654mil","1604.324mil","708.661mil","1604.331mil","767.154mil","1604.324mil","T","180.00","BAS85"
"DS105","SOT-23","1190.448mil","1623.52mil","1190.945mil","1624.016mil","1152.948mil","1583.52mil","T","360.00","BAS70-04"
"DS106","SOT-23","1112.7mil","1456.198mil","1112.205mil","1456.693mil","1152.7mil","1418.698mil","T","90.00","BAS70-04"
"DS107","SOT-23","1490.496mil","1467.346mil","1490mil","1466.85mil","1527.996mil","1507.346mil","T","180.00","BAS70-04"
"DS200","1206-D_REFL","2360.008mil","1714.638mil","2360mil","1714.646mil","2360.008mil","1773.138mil","T","270.00","BAS85"
"DS201","1206-D_REFL","2080.008mil","2114.638mil","2080mil","2114.646mil","2080.008mil","2173.138mil","T","270.00","BAS85"
"DS202","1206-D_REFL","1560.008mil","2044.638mil","1560mil","2044.646mil","1560.008mil","2103.138mil","T","270.00","BAS85"
"DS205","SOT-23","2220.496mil","3057.346mil","2220mil","3056.85mil","2257.996mil","3097.346mil","T","180.00","BAS70-04"
"DS206","SOT-23","2550.496mil","2254.15mil","2550mil","2254.646mil","2590.496mil","2216.65mil","T","90.00","BAS70-04"
"DT100","SMA","3582.67mil","3346.45mil","3582.677mil","3346.457mil","3662.67mil","3346.45mil","T","180.00","SMAJ15CA"
"DT101","SMA","3582.67mil","3543.3mil","3582.677mil","3543.307mil","3662.67mil","3543.3mil","T","180.00","SMAJ15CA"
"DT102","SMA","3582.67mil","3740.15mil","3582.677mil","3740.157mil","3662.67mil","3740.15mil","T","180.00","SMAJ15CA"
"DT103","SMA","910.008mil","3736.842mil","910mil","3736.85mil","910.008mil","3816.842mil","T","270.00","SMAJ15CA"
"DT104","SMA","1349.992mil","3964.654mil","1350mil","3964.646mil","1349.992mil","3884.654mil","T","90.00","SMAJ15CA"
"DT105","SMA","1761.818mil","3523.614mil","1761.811mil","3523.622mil","1761.818mil","3603.614mil","T","270.00","SMAJ15CA"
"DT106","SMA","3582.67mil","1456.686mil","3582.677mil","1456.693mil","3662.67mil","1456.686mil","T","180.00","SMAJ15CA"
"DT107","SMA","3582.67mil","1653.536mil","3582.677mil","1653.543mil","3662.67mil","1653.536mil","T","180.00","SMAJ15CA"
"DT108","SMA","3589.992mil","1774.638mil","3590mil","1774.646mil","3669.992mil","1774.638mil","T","180.00","SMAJ15CA"
"DT109","SMA","1574.796mil","3562.984mil","1574.803mil","3562.992mil","1654.796mil","3562.984mil","T","180.00","*SMAJ5.0CA"
"DT110","SMA","2145.662mil","3513.788mil","2145.669mil","3513.78mil","2145.662mil","3433.788mil","T","90.00","*SMAJ5.0CA"
"DT111","SMA","2000.008mil","3974.638mil","2000mil","3974.646mil","2000.008mil","4054.638mil","T","270.00","*SMAJ5.0CA"
"DZ100","1206-D_REFL","3080.7mil","3061.016mil","3080.709mil","3061.024mil","3139.2mil","3061.016mil","T","180.00","ZMM3.3"
"DZ101","1206-D_REFL","3229.992mil","1176.842mil","3230mil","1176.85mil","3288.492mil","1176.842mil","T","180.00","ZMM3.3"
"DZ102","1206-D_REFL","3080.716mil","3257.882mil","3080.709mil","3257.874mil","3022.216mil","3257.882mil","T","360.00","ZMM18"
"DZ103","1206-D_REFL","3020.008mil","1384.654mil","3020mil","1384.646mil","2961.508mil","1384.654mil","T","360.00","ZMM18"
"DZ104","1206-D_REFL","950.008mil","1116.858mil","950mil","1116.85mil","891.508mil","1116.858mil","T","360.00","ZMM7.5"
"DZ200","1206-D_REFL","3260.008mil","1769.992mil","3260mil","1770mil","3260.008mil","1828.492mil","T","270.00","ZMM3.3"
