Center-X(Mil),Center-Y(Mil),Comment,Description,Designator,Footprint,Layer,LibRef,Pad-X(Mil),Pad-Y(Mil),Quantity,Rotation

"1998.111","1210.001","100n","Capacitor","C1","CAPC2012N","Top","Cap","1998.111","1243.465","1","270"
"1398.111","1210.001","100n","Capacitor","C2","CAPC2012N","Top","Cap","1398.111","1243.465","1","270"
"798.111","1195.001","100n","Capacitor","C3","CAPC2012N","Top","Cap","798.111","1228.465","1","270"
"2568.111","1625.001","1u 50V","Capacitor","C4","CAPC3216N","Top","Cap","2568.111","1682.087","1","270"
"2493.111","1800.001","1N4148","High Conductance Fast Diode","D1","MELF-D3513-1405","Top","1N4148","2423.229","1800.001","1","0"
"693.111","814.568","RED","Red LED","DS1","LED 0805","Top","LED1","693.111","779.135","1","90"
"2578.544","2000.001","RED","Red LED","DS2","LED 0805","Top","LED1","2543.111","2000.001","1","0"
"2043.111","575","YELLOW","Yellow LED","DS3","LED 0805","Top","LED1","2078.544","575","1","180"
"314.961","196.851","MtgHole M3","Mounting hole","M1","MTG-M3","Top","MtgHole","314.961","196.851","1","0"
"314.961","1850.394","MtgHole M3","Mounting hole","M2","MTG-M3","Top","MtgHole","314.961","1850.394","1","0"
"3070.867","196.851","MtgHole M3","Mounting hole","M3","MTG-M3","Top","MtgHole","3070.867","196.851","1","0"
"3070.867","1850.394","MtgHole M3","Mounting hole","M4","MTG-M3","Top","MtgHole","3070.867","1850.394","1","0"
"2993.111","1075.001","X Control","Header, 8-Pin","P1","HDR8X3.81","Top","Header 8","2993.111","1600.001","1","90"
"1068.111","800.001","Header 4X2","Header, 4-Pin, Dual row","P2","HDR2X4","Top","Header 4X2","918.111","750.001","1","0"
"1543.111","2300.001","Header 20X2","Header, 20-Pin, Dual row","P3","HDR2X20","Top","Header 20X2","2493.111","2350.001","1","180"
"2693.111","250.001","X Limit","Header, 2-Pin","P4","HDR2x3.81","Top","MHDR1X2","2768.111","250.001","1","0"
"408.111","1050.001","C Control","Header, 8-Pin","P5","HDR8X3.81","Top","Header 8","408.111","525.001","1","270"
"718.111","250.001","C Limit","Header, 2-Pin","P6","HDR2x3.81","Top","MHDR1X2","793.111","250.001","1","0"
"2918.111","2223.4","Motor Power","Header, 2-Pin","P7","Term2-Vert5mm","Top","Header 2","2918.111","2125.001","1","90"
"1718.111","300.001","Header 13X2","Header, 13-Pin, Dual row","P8","HDR2X13","Top","Header 13X2","2318.111","350.001","1","180"
"2443.111","1600.001","FDN359AN","NchMOSFET, logic level, 30V, 2.7A, SSOT-23","Q1","SOT23-3N","Top","FDN359AN","2405.709","1562.599","1","90"
"2443.111","1475.001","10k","Resistor","R1","RESC2012N","Top","Res1","2478.544","1475.001","1","180"
"2293.111","1525.001","330","Resistor","R2","RESC2012N","Top","Res1","2293.111","1489.568","1","90"
"818.111","1850.001","330","Resistor","R3","RESC2012N","Top","Res1","818.111","1814.568","1","90"
"1368.111","1850.001","330","Resistor","R4","RESC2012N","Top","Res1","1368.111","1814.568","1","90"
"1593.111","850","4k7","Resistor","R5","RESC2012N","Top","Res1","1593.111","885.434","1","270"
"1693.111","850","4k7","Resistor","R6","RESC2012N","Top","Res1","1693.111","885.434","1","270"
"1793.111","850","4k7","Resistor","R7","RESC2012N","Top","Res1","1793.111","885.434","1","270"
"1743.111","1500.001","4k7","Resistor","R8","RESC2012N","Top","Res1","1778.544","1500.001","1","180"
"918.111","600.001","4k7","Resistor","R9","RESC2012N","Top","Res1","918.111","564.568","1","90"
"1018.111","600","4k7","Resistor","R10","RESC2012N","Top","Res1","1018.111","635.434","1","270"
"1118.111","600","4k7","Resistor","R11","RESC2012N","Top","Res1","1118.111","635.434","1","270"
"1218.111","600","4k7","Resistor","R12","RESC2012N","Top","Res1","1218.111","635.434","1","270"
"2428.544","2000","30k","Resistor","R13","RESC2012N","Top","Res1","2463.977","2000","1","180"
"693.111","664.567","10k","Resistor","R14","RESC2012N","Top","Res1","693.111","700.001","1","270"
"2218.111","575","2k","Resistor","R15","RESC2012N","Top","Res1","2253.544","575","1","180"
"2268.111","1200.001","PCA9554DWRG4","Remote 8-Bit I2C and SMBus I/O Expander with Interrupt Output and Configuration Registers, 8 Outputs, 2.3 to 5.5 V, -40 to 85 degC, 16-pin SOIC (DW), Green (RoHS & no Sb/Br)","U1","DW16_N","Top","CMP-0314-00123-1","2093.111","1020.867","1","90"
"1668.111","1200.001","PCA9554DWRG4","Remote 8-Bit I2C and SMBus I/O Expander with Interrupt Output and Configuration Registers, 8 Outputs, 2.3 to 5.5 V, -40 to 85 degC, 16-pin SOIC (DW), Green (RoHS & no Sb/Br)","U2","DW16_N","Top","CMP-0314-00123-1","1493.111","1020.867","1","90"
"1093.111","1850.001","P82B96PWR","Dual Bidirectional Bus Buffer, 2 Channel Width, 2.0 to 15.0 V, -40 to 85 degC, 8-pin TSSOP (PW), Green (RoHS & no Sb/Br)","U3","PW8_M","Top","CMP-0314-00303-1","1207.284","1811.615","1","180"
"1068.111","1200.001","PCA9554DWRG4","Remote 8-Bit I2C and SMBus I/O Expander with Interrupt Output and Configuration Registers, 8 Outputs, 2.3 to 5.5 V, -40 to 85 degC, 16-pin SOIC (DW), Green (RoHS & no Sb/Br)","U4","DW16_N","Top","CMP-0314-00123-1","893.111","1020.867","1","90"
"1840","1775","SFH6156","4-Pin Phototransistor Optocoupler","U29","OPTOCOUPLER-4PIN-SMT","Top","Optoisolator1","2040","1725","1","180"
