Comment,Description,Designator,Footprint,LibRef,Quantity

"10u 16V","Capacitor","C1","CAPC3216N","Cap","1"
"100n","Capacitor","C2","CAPC2012N","Cap","1"
"100n","Capacitor","C3","CAPC2012N","Cap","1"
"100n","Capacitor","C4","CAPC2012N","Cap","1"
"100n","Capacitor","C5","CAPC2012N","Cap","1"
"100n","Capacitor","C6","CAPC2012N","Cap","1"
"100n","Capacitor","C7","CAPC2012N","Cap","1"
"100n","Capacitor","C8","CAPC2012N","Cap","1"
"1u 50V","Capacitor","C9","CAPC3216N","Cap","1"
"D Schottky","Schottky Diode","D1","SMB","D Schottky","1"
"PIC Program","Header, 6-Pin","P1","HDR1x6","Header 6","1"
"Head Module","Header, 7-Pin, Dual row","P2","HDR2X7","Header 7X2","1"
"MHDR1X4","Header, 4-Pin","P3","HDR4x3.81-RT-ANG","MHDR1X4","1"
"MHDR1X4","Header, 4-Pin","P4","HDR4x3.81-RT-ANG","MHDR1X4","1"
"MHDR1X4","Header, 4-Pin","P6","HDR4x3.81-RT-ANG","MHDR1X4","1"
"MHDR1X4","Header, 4-Pin","P7","HDR4x3.81-RT-ANG","MHDR1X4","1"
"MOSFET-P","P-Channel MOSFET","Q1","TO220-HORZ","MOSFET-P","1"
"2N2222","NPN General Purpose Amplifier","Q2","SOT23-3N","2N2222","1"
"10k","Resistor","R1","RESC2012N","Res1","1"
"100","Resistor","R2","RESC2012N","Res1","1"
"4k7","Resistor","R3","RESC2012N","Res1","1"
"4k7","Resistor","R4","RESC2012N","Res1","1"
"1M","Resistor","R5","RESC2012N","Res1","1"
"4k7","Resistor","R6","RESC2012N","Res1","1"
"10k","Resistor","R7","RESC2012N","Res1","1"
"4k7","Resistor","R8","RESC2012N","Res1","1"
"4k7","Resistor","R9","RESC2012N","Res1","1"
"10k","Resistor","R10","RESC2012N","Res1","1"
"10k","Resistor","R11","RESC2012N","Res1","1"
"4k7","Resistor","R12","RESC2012N","Res1","1"
"PIC24FJ128GA106-E/PT","General Purpose 16-Bit Flash Microcontroller, 128KB Flash, 16KB SRAM, 64-Pin TQFP, Extended Temperature","U1","TQFP-PT64_L","CMP-0046-00120-2","1"
"TVS","TVS array","U2","SC70-6L","Rclamp0504FA","1"
"NCV7726A","","U3","SSOP24","NCV7726A","1"
"MPX6115V","SMT vacuum sensor","U4","MPX6115","MPX6115","1"
"MPX6115V","SMT vacuum sensor","U5","MPX6115","MPX6115","1"
"Type K","MAX31855 module","U6","THERMOCOUPLE_MODULE","THERMOCOUPLE_MODULE","1"
